X1	X2		X4		X3		Y
3.85	3.80		-0.05		5.50		7.38
3.75	4.00		0.25		6.75		8.51
3.70	4.30		0.60		7.25		9.52
3.70	3.70		0.00		5.50		7.50
3.60	3.85		0.25		7.00		9.33
3.60	3.80		0.20		6.50		8.28
3.60	3.75		0.15		6.75		8.75
3.80	3.85		0.05		5.25		7.87
3.80	3.65		-0.15		5.25		7.10
3.85	4.00		0.15		6.00		8.00
3.90	4.10		0.20		6.50		7.89
3.90	4.00		0.10		6.25		8.15
3.70	4.10		0.40		7.00		9.10
3.75	4.20		0.45		6.90		8.86
3.75	4.10		0.35		6.80		8.90
3.80	4.10		0.30		6.80		8.87
3.70	4.20		0.50		7.10		9.26
3.80	4.30		0.50		7.00		9.00
3.70	4.10		0.40		6.80		8.75
3.80	3.75		-0.05		6.50		7.95
3.80	3.75		-0.05		6.25		7.65
3.75	3.65		-0.10		6.00		7.27
3.70	3.90		0.20		6.50		8.00
3.55	3.65		0.10		7.00		8.50
3.60	4.10		0.50		6.80		8.75
3.65	4.25		0.60		6.80		9.21
3.70	3.65		-0.05		6.50		8.27
3.75	3.75		0.00		5.75		7.67
3.80	3.85		0.05		5.80		7.93
3.70	4.25		0.55		6.80		9.26
