order	year	month	units
1	1968	1	1420
2	1968	2	1500
3	1968	3	1550
4	1968	4	1470
5	1968	5	1510
6	1968	6	1520
7	1968	7	1540
8	1968	8	1550
9	1968	9	1660
10	1968	10	1710
11	1968	11	1660
12	1968	12	1710
13	1969	1	1630
14	1969	2	1680
15	1969	3	1620
16	1969	4	1620
17	1969	5	1630
18	1969	6	1590
19	1969	7	1540
20	1969	8	1540
21	1969	9	1560
22	1969	10	1570
23	1969	11	1540
24	1969	12	1600
25	1970	1	1530
26	1970	2	1460
27	1970	3	1370
28	1970	4	1510
29	1970	5	1530
30	1970	6	1580
31	1970	7	1630
32	1970	8	1720
33	1970	9	1730
34	1970	10	1700
35	1970	11	1750
36	1970	12	1850
37	1971	1	1910
38	1971	2	1900
39	1971	3	1980
40	1971	4	2010
41	1971	5	2040
42	1971	6	1990
43	1971	7	2000
44	1971	8	2000
45	1971	9	2050
46	1971	10	2050
47	1971	11	2140
48	1971	12	2180
49	1972	1	2200
50	1972	2	2150
51	1972	3	2180
52	1972	4	2160
53	1972	5	2110
54	1972	6	2170
55	1972	7	2190
56	1972	8	2300
57	1972	9	2340
58	1972	10	2380
59	1972	11	2380
60	1972	12	2490
61	1973	1	2430
62	1973	2	2500
63	1973	3	2420
64	1973	4	2350
65	1973	5	2330
66	1973	6	2360
67	1973	7	2340
68	1973	8	2280
69	1973	9	2240
70	1973	10	2270
71	1973	11	2260
72	1973	12	2230
73	1974	1	2410
74	1974	2	2380
75	1974	3	2440
76	1974	4	2390
77	1974	5	2400
78	1974	6	2270
79	1974	7	2290
80	1974	8	2250
81	1974	9	2150
82	1974	10	2100
83	1974	11	2090
84	1974	12	2110
85	1975	1	2060
86	1975	2	2230
87	1975	3	2290
88	1975	4	2390
89	1975	5	2470
90	1975	6	2510
91	1975	7	2450
92	1975	8	2530
93	1975	9	2630
94	1975	10	2680
95	1975	11	2740
96	1975	12	2780
97	1976	1	2810
98	1976	2	2930
99	1976	3	2900
100	1976	4	2940
101	1976	5	2960
102	1976	6	3110
103	1976	7	3100
104	1976	8	3110
105	1976	9	3210
106	1976	10	3160
107	1976	11	3220
108	1976	12	3340
109	1977	1	3430
110	1977	2	3360
111	1977	3	3580
112	1977	4	3530
113	1977	5	3640
114	1977	6	3630
115	1977	7	3650
116	1977	8	3710
117	1977	9	3760
118	1977	10	3710
119	1977	11	3860
120	1977	12	3890
121	1978	1	3900
122	1978	2	3830
123	1978	3	3970
124	1978	4	4090
125	1978	5	4000
126	1978	6	4040
127	1978	7	3990
128	1978	8	3960
129	1978	9	3930
130	1978	10	4000
131	1978	11	4150
132	1978	12	3980
133	1979	1	3860
134	1979	2	3990
135	1979	3	3960
136	1979	4	3990
137	1979	5	4090
138	1979	6	3800
139	1979	7	3820
140	1979	8	3840
141	1979	9	3940
142	1979	10	3770
143	1979	11	3480
144	1979	12	3390
145	1980	1	3330
146	1980	2	3190
147	1980	3	2970
148	1980	4	2540
149	1980	5	2480
150	1980	6	2600
151	1980	7	2930
152	1980	8	3050
153	1980	9	3400
154	1980	10	3210
155	1980	11	3050
156	1980	12	2910
157	1981	1	2710
158	1981	2	2690
159	1981	3	2600
160	1981	4	2670
161	1981	5	2630
162	1981	6	2590
163	1981	7	2490
164	1981	8	2340
165	1981	9	2180
166	1981	10	2080
167	1981	11	2020
168	1981	12	2020
169	1982	1	1910
170	1982	2	1990
171	1982	3	2000
172	1982	4	1910
173	1982	5	1900
174	1982	6	1910
175	1982	7	1890
176	1982	8	1880
177	1982	9	1950
178	1982	10	2060
179	1982	11	2220
180	1982	12	2270
181	1983	1	2580
182	1983	2	2430
183	1983	3	2600
184	1983	4	2600
185	1983	5	2750
186	1983	6	2770
187	1983	7	2800
188	1983	8	2790
189	1983	9	2780
190	1983	10	2730
191	1983	11	2680
192	1983	12	2810
193	1984	1	2860
194	1984	2	2890
195	1984	3	2930
196	1984	4	2990
197	1984	5	2940
198	1984	6	2920
199	1984	7	2810
200	1984	8	2700
201	1984	9	2670
202	1984	10	2650
203	1984	11	2780
204	1984	12	2790
205	1985	1	2960
206	1985	2	2880
207	1985	3	2980
208	1985	4	2970
209	1985	5	2980
210	1985	6	3030
211	1985	7	3130
212	1985	8	3370
213	1985	9	3340
214	1985	10	3350
215	1985	11	3300
216	1985	12	3320
217	1986	1	3310
218	1986	2	3260
219	1986	3	3190
220	1986	4	3490
221	1986	5	3370
222	1986	6	3360
223	1986	7	3430
224	1986	8	3500
225	1986	9	3570
226	1986	10	3570
227	1986	11	3740
228	1986	12	3890
229	1987	1	3500
230	1987	2	3650
231	1987	3	3640
232	1987	4	3530
233	1987	5	3640
234	1987	6	3460
235	1987	7	3420
236	1987	8	3290
237	1987	9	3320
238	1987	10	3360
239	1987	11	3240
240	1987	12	3170
241	1988	1	3110
242	1988	2	3250
243	1988	3	3360
244	1988	4	3460
245	1988	5	3560
246	1988	6	3700
247	1988	7	3580
248	1988	8	3580
249	1988	9	3580
250	1988	10	3620
251	1988	11	3560
252	1988	12	3760
253	1989	1	3560
254	1989	2	3460
255	1989	3	3320
256	1989	4	3320
257	1989	5	3140
258	1989	6	3190
259	1989	7	3250
260	1989	8	3270
261	1989	9	3410
262	1989	10	3410
263	1989	11	3410
264	1989	12	3390
265	1990	1	3490
266	1990	2	3370
267	1990	3	3310
268	1990	4	3230
269	1990	5	3180
270	1990	6	3210
271	1990	7	3160
272	1990	8	3320
273	1990	9	3140
274	1990	10	3050
275	1990	11	3040
276	1990	12	3020
